0.1,1,1,518.8
0.15,1,1,327.4
0.2,1,1,307.6
0.25,1,1,443.5
0.3,1,1,400.7
0.35,1,1,401.6
0.4,1,1,396.485
0.45,1,1,355.64
0.5,1,1,581.604
0.55,1,1,539.693
0.6,1,1,456.363
0.65,1,1,292.158
0.7,1,1,474.958
0.1,1,2,370.2
0.15,1,2,273.3
0.2,1,2,302.2
0.25,1,2,353.1
0.3,1,2,304.7
0.35,1,2,331
0.4,1,2,332.94
0.45,1,2,326.645
0.5,1,2,415.632
0.55,1,2,446.373
0.6,1,2,330.688
0.65,1,2,416.21
0.7,1,2,330.194
0.1,1,3,221.5
0.15,1,3,220.8
0.2,1,3,223.5
0.25,1,3,226.8
0.3,1,3,226.3
0.35,1,3,228.7
0.4,1,3,236.355
0.45,1,3,244.781
0.5,1,3,247.792
0.55,1,3,268.237
0.6,1,3,296.943
0.65,1,3,292.52
0.7,1,3,302.874
0.1,5,1,2594
0.15,5,1,1637
0.2,5,1,1853
0.25,5,1,2218
0.3,5,1,2004
0.35,5,1,2008
0.4,5,1,1982.42
0.45,5,1,1778.2
0.5,5,1,2908.02
0.55,5,1,2698.46
0.6,5,1,2281.81
0.65,5,1,1460.79
0.7,5,1,2374.79
0.1,5,2,1851
0.15,5,2,1367
0.2,5,2,1511
0.25,5,2,1765
0.3,5,2,1532
0.35,5,2,1655
0.4,5,2,1661.47
0.45,5,2,1633.27
0.5,5,2,2078.16
0.55,5,2,2231.87
0.6,5,2,1653.44
0.65,5,2,2081.05
0.7,5,2,1650.97
0.1,5,3,1107
0.15,5,3,1104
0.2,5,3,1118
0.25,5,3,1134
0.3,5,3,1131
0.35,5,3,1143
0.4,5,3,1181.77
0.45,5,3,1223.91
0.5,5,3,1238.96
0.55,5,3,1341.19
0.6,5,3,1484.71
0.65,5,3,1462.6
0.7,5,3,1514.37
